timestamp_ms,frames_decoded,frames_dropped,frames_received,framerate,jitter_buffer_delay_ms,video_width,video_height,total_decode_time_ms,total_bytes_received,bitrates,overall_avg_bitrates,decoder_implementation
209135309,1441.6,0,1441.6,32.2,29872.6,1920,1080,9405.14,95106522,1.83327e+07,1.55032e+07,libvpx
209136310,1472,0,1472,30.2,30646.8,1920,1080,9642.34,97091523,1.58641e+07,1.55104e+07,libvpx
209137312,1502,0,1502,30,31401.3,1920,1080,9871.01,99091854,1.59707e+07,1.55195e+07,libvpx
209138313,1532,0,1532,30,32230.9,1920,1080,10108.2,101138846,1.63596e+07,1.55356e+07,libvpx
209139314,1561.8,0,1561.8,29.8,33119.3,1920,1080,10373,103378286,1.78976e+07,1.55802e+07,libvpx
209140315,1592,0,1592,30.2,33948.2,1920,1080,10623.9,105479872,1.67959e+07,1.56027e+07,libvpx
209141316,1622,0,1622,30,34782.4,1920,1080,10865.9,107640597,1.72685e+07,1.56329e+07,libvpx
209142317,1652.2,0,1652.2,30.2,35615.4,1920,1080,11099.8,109841174,1.7587e+07,1.56678e+07,libvpx
209143319,1682,0,1682,29.8,36435.8,1920,1080,11321.4,111981906,1.70917e+07,1.56928e+07,libvpx
209144320,1712.2,0,1712.2,30.2,37280.7,1920,1080,11553,114172357,1.75061e+07,1.57241e+07,libvpx
209145322,1742,0,1742,29.8,38115.2,1920,1080,11782,116358158,1.74515e+07,1.57533e+07,libvpx
209146323,1772,0,1772,30,38969,1920,1080,12022.3,118627983,1.81405e+07,1.57931e+07,libvpx
209147324,1802,0,1802,30,39767.2,1920,1080,12257.4,120670856,1.63267e+07,1.58019e+07,libvpx
209148325,1832,0,1832,30,40549.6,1920,1080,12499.8,122865853,1.75424e+07,1.58299e+07,libvpx
209149326,1860.8,0,1860.8,28.8,41486.9,1920,1080,12732.5,125051116,1.74646e+07,1.58558e+07,libvpx
209150327,1891.8,0,1891.8,31,42415.4,1920,1080,12973.7,126804598,1.40138e+07,1.58271e+07,libvpx
