segment_id,bitrate,resolution,frame_number,vmaf_score
9,7498,1280x720,0,65.713716
9,7498,1280x720,1,40.874183
9,7498,1280x720,2,31.520741
9,7498,1280x720,3,30.540586
9,7498,1280x720,4,28.1701
9,7498,1280x720,5,28.045716
9,7498,1280x720,6,26.202308
9,7498,1280x720,7,27.121599
9,7498,1280x720,8,30.162261
9,7498,1280x720,9,31.998163
9,7498,1280x720,10,32.451493
9,7498,1280x720,11,32.636376
9,7498,1280x720,12,32.814375
9,7498,1280x720,13,31.630745
9,7498,1280x720,14,33.537947
9,7498,1280x720,15,33.640253
9,7498,1280x720,16,35.930548
9,7498,1280x720,17,34.710441
9,7498,1280x720,18,36.205116
9,7498,1280x720,19,36.135888
9,7498,1280x720,20,33.96532
9,7498,1280x720,21,35.866663
9,7498,1280x720,22,35.042151
9,7498,1280x720,23,36.101448
9,7498,1280x720,24,33.132632
9,7498,1280x720,25,35.340798
9,7498,1280x720,26,35.215883
9,7498,1280x720,27,36.622221
9,7498,1280x720,28,35.614845
9,7498,1280x720,29,37.314965
9,7498,1280x720,30,36.059978
9,7498,1280x720,31,34.835209
9,7498,1280x720,32,33.957682
9,7498,1280x720,33,35.11867
9,7498,1280x720,34,35.823923
9,7498,1280x720,35,34.037389
9,7498,1280x720,36,35.895907
9,7498,1280x720,37,34.143018
9,7498,1280x720,38,35.621328
9,7498,1280x720,39,33.418462
9,7498,1280x720,40,36.511056
9,7498,1280x720,41,34.127387
9,7498,1280x720,42,36.315401
9,7498,1280x720,43,34.635902
9,7498,1280x720,44,36.143708
9,7498,1280x720,45,33.63149
9,7498,1280x720,46,34.25376
9,7498,1280x720,47,31.677795
9,7498,1280x720,48,34.833239
9,7498,1280x720,49,33.206203
9,7498,1280x720,50,34.533277
9,7498,1280x720,51,32.139002
9,7498,1280x720,52,33.707543
9,7498,1280x720,53,30.716069
9,7498,1280x720,54,33.89593
9,7498,1280x720,55,30.930763
9,7498,1280x720,56,32.2562
9,7498,1280x720,57,29.840221
9,7498,1280x720,58,31.933695
9,7498,1280x720,59,29.79672
